number,debate_id,title,theist_side,official_margin,logicalCoherence_contribution,evidenceWarrant_contribution,responsiveness_contribution,relevanceBurden_contribution,precisionClarity_contribution,calibrationCharity_contribution,adjustment_gap,rounding_residual
01,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,pro,6.0,2.215,2.252000000000001,-0.7150000000000006,-0.23175000000000023,0.6899999999999992,1.7394999999999996,0,0.050250000000001016
02,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,pro,4.0,1.2354999999999983,1.7554000000000003,0.4656000000000006,0.049050000000001856,-0.03999999999999915,1.1998999999999995,0,-0.6654500000000017
03,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,con,8.0,2.5867499999999986,2.2214,1.698400000000001,0.009000000000000341,0.43250000000000033,1.3557999999999995,0,-0.3038500000000006
05,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,pro,24.0,6.810000000000002,6.421999999999999,4.857000000000003,0.43049999999999855,1.8049999999999997,3.308,0,0.3674999999999997
06,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,pro,10.0,2.6057500000000005,2.396599999999998,2.9813999999999994,0.7488000000000007,0.7295000000000003,1.009400000000001,0,-0.47144999999999904
07,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,pro,7.0,2.1975000000000016,1.0807999999999993,0.7468000000000018,-0.13589999999999874,1.238000000000001,1.6074000000000013,0,0.2653999999999934
08,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,pro,7.0,1.8912499999999994,2.7464,0.9126000000000005,0.057750000000000766,0.2709999999999994,1.1851,0,-0.06409999999999982
09,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,pro,16.0,4.068750000000001,3.1050000000000013,3.919999999999999,0.7574999999999995,1.7625000000000002,2.0575000000000006,0,0.32874999999999766
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,pro,0.0,0.4917499999999997,0.8210000000000008,-1.2877999999999987,-0.006149999999999522,-0.07000000000000028,0.3734000000000009,0,-0.3222000000000029
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil",pro,8.0,2.230000000000004,1.9628000000000014,1.6427999999999998,0.23490000000000036,0.6980000000000018,1.1552000000000007,0,0.07629999999999182
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,pro,-6.0,-1.605999999999998,-0.9276000000000011,-1.8160000000000054,0.10679999999999623,-0.9219999999999999,-0.5823999999999998,0,-0.2527999999999917
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",pro,11.0,3.8197499999999955,4.214400000000004,0.003000000000002956,0.09720000000000155,0.9699999999999989,2.6983999999999995,0,-0.8027500000000014
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,pro,-1.0,-0.645500000000002,0.11499999999999916,0.06140000000000043,0.04994999999999976,-0.2140000000000015,0.014900000000000092,0,-0.38174999999999604
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,pro,4.0,1.2727499999999985,1.3638000000000006,1.2856000000000023,-0.6930000000000006,-0.07500000000000001,0.8848000000000014,0,-0.03895000000000248
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,pro,10.0,2.743500000000001,3.1645999999999987,1.899799999999999,0.4739999999999995,0.8280000000000002,1.0278999999999996,0,-0.1377999999999986
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,pro,9.0,2.7664999999999935,1.9814000000000023,2.2817999999999983,0.2859000000000009,1.398000000000002,1.3204999999999985,0,-1.0340999999999951
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority",con,2.0,1.0037500000000001,0.8140000000000015,0.004000000000002046,-0.2730000000000011,0.3049999999999997,0.26000000000000084,0,-0.11375000000000313
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,con,9.0,2.321999999999999,2.5404000000000013,1.7331999999999994,0.5267999999999979,0.597999999999999,0.961,0,0.31860000000000355
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,pro,7.0,2.8264999999999993,2.7099999999999995,-0.10279999999999917,0.6770999999999994,0.2900000000000006,1.0427999999999997,0,-0.4435999999999991
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality",con,-2.0,-0.5079999999999991,0.024399999999999977,0.23060000000000117,-0.4371000000000045,-0.7410000000000011,-0.5131,0,-0.05579999999999652
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,con,-2.0,-1.3262499999999982,-0.2799999999999983,1.6379999999999997,-0.3,-0.9299999999999997,-0.7040000000000006,0,-0.09775000000000289
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,pro,9.0,2.821249999999999,1.875,2.278000000000003,-0.19950000000000187,0.7299999999999998,1.5579999999999998,0,-0.06274999999999942
